timestamp,pipeline_id,stage_name,job_name,task_name,status,branch,user,environment,hour,weekday,message_len,message_has_fail,is_user_unknown,is_env_unknown,job_fail_count,target,pipeline_id_enc,stage_name_enc,job_name_enc,task_name_enc,branch_enc,user_enc,environment_enc
2024-03-02 01:05:07+00:00,pipe-txnem,Build,deploy_to_staging,analyze,success,branch_ajn,unknown_user,unknown_environment,1,5,28,0,1,1,0,0,605,1,2,0,8,0,3
2024-07-22 19:55:41+00:00,pipe-hjahz,Build,run_unit_tests,deploy,skipped,branch_tgn,user_psc,unknown_environment,19,0,44,0,0,1,0,0,237,1,4,3,576,224,3
2024-03-01 23:03:43+00:00,pipe-vcsbx,Analysis,deploy_to_dev,deploy,success,branch_lti,user_usq,unknown_environment,23,4,28,0,0,1,0,0,653,0,1,3,346,309,3
2024-06-02 12:21:00+00:00,pipe-pnvzk,Test,deploy_to_dev,test,skipped,branch_ezx,unknown_user,unknown_environment,12,6,44,0,1,1,0,0,483,3,1,4,147,0,3
2024-04-17 07:59:29+00:00,pipe-mwkkl,Test,build_and_test,test,failed,branch_xqp,user_umu,unknown_environment,7,2,22,1,0,1,0,1,391,3,0,4,705,307,3
2024-04-06 14:31:21+00:00,pipe-bcxxl,Analysis,deploy_to_dev,deploy,success,branch_moh,unknown_user,unknown_environment,14,5,28,0,1,1,0,0,45,0,1,3,370,0,3
2024-02-22 07:14:58+00:00,pipe-keewh,Test,build_and_test,test,failed,branch_kox,user_glz,unknown_environment,7,3,22,1,0,1,0,1,310,3,0,4,311,91,3
2024-11-20 03:29:55+00:00,pipe-pocpk,Analysis,run_integration_tests,analyze,failed,branch_xbc,user_yjl,unknown_environment,3,2,22,1,0,1,0,1,484,0,3,0,685,370,3
2024-09-05 06:07:21+00:00,pipe-oredz,Build,run_unit_tests,deploy,skipped,branch_lkn,unknown_user,unknown_environment,6,3,44,0,1,1,0,0,456,1,4,3,336,0,3
2024-12-09 06:10:14+00:00,pipe-fzeaz,Test,deploy_to_dev,deploy,skipped,branch_sgy,user_kof,unknown_environment,6,0,44,0,0,1,0,0,195,3,1,3,543,152,3
2024-09-01 23:05:03+00:00,pipe-eripz,Analysis,deploy_to_dev,deploy,running,branch_pmi,user_wlb,unknown_environment,23,6,30,0,0,1,0,0,153,0,1,3,454,335,3
2024-05-27 12:35:14+00:00,pipe-cpqfc,Deploy,deploy_to_staging,test,running,branch_zrf,unknown_user,production,12,0,30,0,1,0,0,0,85,2,2,4,765,0,1
2024-10-28 06:35:11+00:00,pipe-kkxpt,Deploy,run_integration_tests,analyze,skipped,branch_poy,user_aay,production,6,0,44,0,0,0,0,0,322,2,3,0,459,1,1
2024-08-21 08:46:59+00:00,pipe-stcqg,Analysis,run_unit_tests,deploy,skipped,branch_rux,unknown_user,unknown_environment,8,2,44,0,1,1,0,0,572,0,4,3,529,0,3
2024-01-16 05:14:59+00:00,pipe-ymmrt,Analysis,build_and_test,deploy,skipped,branch_pbf,unknown_user,unknown_environment,5,1,44,0,1,1,0,0,754,0,0,3,442,0,3
2024-09-22 00:13:00+00:00,pipe-wjfsi,Test,build_and_test,build,failed,branch_cix,user_fbr,unknown_environment,0,6,22,1,0,1,0,1,685,3,0,1,76,73,3
2024-04-21 17:01:30+00:00,pipe-zulqj,Deploy,deploy_to_dev,analyze,skipped,branch_uxt,unknown_user,development,17,6,44,0,1,0,0,0,797,2,1,0,623,0,0
2024-05-12 21:02:18+00:00,pipe-hbqzl,Build,run_unit_tests,analyze,failed,branch_rsw,user_vdc,unknown_environment,21,6,22,1,0,1,0,1,228,1,4,0,527,319,3
2024-03-27 22:25:29+00:00,pipe-oloqe,Deploy,run_integration_tests,test,running,branch_fhv,unknown_user,staging,22,2,30,0,1,0,0,0,450,2,3,4,155,0,2
2024-09-26 23:47:46+00:00,pipe-wlana,Build,deploy_to_dev,build,skipped,branch_eph,unknown_user,unknown_environment,23,3,44,0,1,1,0,0,690,1,1,1,137,0,3
2024-05-06 05:18:05+00:00,pipe-gnrle,Build,run_integration_tests,analyze,success,branch_hsr,user_shb,unknown_environment,5,0,28,0,0,1,0,0,211,1,3,0,224,269,3
2024-12-09 10:49:45+00:00,pipe-etvbu,Analysis,run_integration_tests,test,success,branch_ibg,unknown_user,unknown_environment,10,0,28,0,1,1,0,0,155,0,3,4,237,0,3
2024-02-26 18:34:36+00:00,pipe-mgldr,Test,run_integration_tests,test,skipped,branch_tng,unknown_user,unknown_environment,18,0,44,0,1,1,0,0,369,3,3,4,583,0,3
2024-04-03 07:23:48+00:00,pipe-wwmke,Analysis,deploy_to_staging,test,skipped,branch_xru,unknown_user,unknown_environment,7,2,44,0,1,1,0,0,704,0,2,4,707,0,3
2024-06-18 01:20:44+00:00,pipe-xzvcm,Analysis,deploy_to_dev,analyze,success,branch_heu,unknown_user,unknown_environment,1,1,28,0,1,1,0,0,738,0,1,0,207,0,3
2024-03-07 05:46:01+00:00,pipe-bcwkh,Test,run_unit_tests,checkout,running,branch_ygx,user_ojk,unknown_environment,5,3,30,0,0,1,0,0,44,3,4,2,723,204,3
2024-04-26 19:52:41+00:00,pipe-mzegz,Deploy,run_integration_tests,build,skipped,branch_oma,unknown_user,staging,19,4,44,0,1,0,0,0,393,2,3,1,420,0,2
2024-02-25 05:17:16+00:00,pipe-olcib,Analysis,run_unit_tests,checkout,running,branch_pmp,user_ede,unknown_environment,5,6,30,0,0,1,0,0,448,0,4,2,455,59,3
2024-03-04 19:44:52+00:00,pipe-rmalx,Deploy,deploy_to_staging,deploy,running,branch_usq,user_oug,production,19,0,30,0,0,0,0,0,542,2,2,3,619,209,1
